                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2473,                0.78277,                 1.3053,                0.95685,                 0.9455,                0.97376,                 0.6438,                 1.2411,                0.51729,                 1.2696,              0.0033321,              0.0033321,              0.0033321
                      2,                 1.2158,                0.65231,                  1.278,                0.95454,                 0.9283,                0.95322,                0.61643,                 1.2792,                0.63525,                 1.3262,              0.0065334,              0.0065334,              0.0065334
                      3,                 1.2584,                0.72881,                 1.3257,                0.94512,                0.90722,                0.95573,                0.60773,                 1.3173,                0.64118,                 1.3323,              0.0096028,              0.0096028,              0.0096028
                      4,                 1.2769,                0.76216,                 1.3522,                0.96715,                0.91799,                0.95682,                0.61293,                 1.2826,                0.61815,                  1.334,               0.009406,               0.009406,               0.009406
                      5,                 1.2317,                0.69978,                 1.3244,                  0.959,                0.93159,                0.95827,                0.60926,                 1.2807,                0.59801,                 1.2939,               0.009208,               0.009208,               0.009208
                      6,                 1.2005,                0.66107,                 1.3012,                0.96863,                0.94059,                0.97191,                0.62374,                 1.3061,                 0.5357,                 1.3084,                0.00901,                0.00901,                0.00901
                      7,                 1.1805,                0.62855,                 1.2944,                 0.9695,                0.93837,                0.96545,                0.63118,                 1.2602,                0.53303,                 1.2837,               0.008812,               0.008812,               0.008812
                      8,                 1.1544,                0.60577,                 1.2717,                0.97775,                0.94733,                0.97384,                0.64906,                 1.2418,                0.49624,                 1.2707,               0.008614,               0.008614,               0.008614
                      9,                 1.1471,                0.59875,                  1.268,                0.96348,                0.94517,                0.97204,                0.66253,                 1.2012,                 0.4946,                 1.2429,               0.008416,               0.008416,               0.008416
                     10,                 1.1281,                0.57791,                 1.2497,                0.97087,                0.95689,                0.97904,                0.67169,                 1.1764,                0.46541,                 1.2251,               0.008218,               0.008218,               0.008218
                     11,                 1.1142,                0.56144,                 1.2461,                0.97395,                0.94658,                0.97756,                0.67307,                 1.1706,                0.45922,                 1.2186,                0.00802,                0.00802,                0.00802
                     12,                 1.1122,                0.55192,                 1.2425,                0.97156,                0.96036,                0.97932,                0.67824,                 1.1587,                0.44667,                 1.2216,               0.007822,               0.007822,               0.007822
                     13,                 1.0935,                0.53413,                 1.2266,                0.97519,                0.95689,                 0.9801,                0.68385,                 1.1447,                0.43818,                 1.2151,               0.007624,               0.007624,               0.007624
                     14,                 1.0861,                0.52499,                 1.2258,                0.97395,                0.96359,                0.98119,                 0.6913,                 1.1279,                0.42887,                 1.2111,               0.007426,               0.007426,               0.007426
                     15,                 1.0798,                 0.5198,                 1.2233,                0.97176,                0.95829,                0.98202,                0.68945,                 1.1307,                0.42208,                 1.1975,               0.007228,               0.007228,               0.007228
                     16,                 1.0665,                0.50755,                 1.2148,                0.97245,                0.95919,                0.98167,                0.69353,                 1.1185,                0.42022,                 1.1978,                0.00703,                0.00703,                0.00703
                     17,                  1.063,                0.50484,                 1.2133,                0.97033,                0.96547,                0.98205,                0.69917,                 1.1152,                0.40978,                 1.1891,               0.006832,               0.006832,               0.006832
                     18,                  1.054,                0.49282,                 1.2027,                 0.9795,                0.96579,                0.98352,                0.70075,                 1.1215,                0.39776,                 1.1858,               0.006634,               0.006634,               0.006634
                     19,                 1.0532,                0.49215,                 1.1971,                0.96887,                0.96255,                0.97831,                0.69175,                 1.1222,                0.40974,                  1.189,               0.006436,               0.006436,               0.006436
                     20,                 1.0392,                0.47977,                 1.1943,                0.97596,                0.97013,                0.98182,                0.69929,                 1.1136,                0.39517,                 1.1898,               0.006238,               0.006238,               0.006238
                     21,                 1.0348,                0.47684,                 1.1905,                 0.9759,                0.96775,                0.98501,                0.69936,                 1.1108,                0.38887,                 1.1844,                0.00604,                0.00604,                0.00604
                     22,                  1.024,                0.46946,                 1.1816,                0.97757,                 0.9672,                0.98459,                0.70409,                 1.1048,                0.38631,                 1.1815,               0.005842,               0.005842,               0.005842
                     23,                  1.017,                0.46018,                 1.1744,                0.97653,                0.96626,                0.98501,                0.70125,                 1.1089,                0.38601,                 1.1788,               0.005644,               0.005644,               0.005644
                     24,                 1.0067,                0.45668,                 1.1698,                 0.9695,                0.97001,                0.98568,                0.70113,                 1.1062,                0.37971,                 1.1765,               0.005446,               0.005446,               0.005446
                     25,                 1.0065,                 0.4454,                 1.1679,                 0.9738,                0.97188,                0.98391,                0.70262,                 1.1116,                0.37633,                 1.1807,               0.005248,               0.005248,               0.005248
                     26,                 0.9936,                0.44353,                 1.1687,                0.97744,                0.97095,                0.98698,                0.70766,                 1.1023,                0.36711,                 1.1795,                0.00505,                0.00505,                0.00505
