                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1083,                 14.167,                 1.9032,                0.72973,                0.83999,                0.83495,                0.50679,                 2.9997,                   1.78,                 1.8001,             0.00066077,             0.00066077,             0.00066077
                      2,                 2.5724,                 1.5829,                 1.6964,                0.83342,                0.49444,                0.54285,                0.28153,                 3.5198,                 3.7626,                 2.1004,              0.0012946,              0.0012946,              0.0012946
                      3,                   2.51,                 1.3875,                 1.7072,                0.90071,                0.82889,                0.91982,                0.53111,                  2.888,                 1.6052,                 1.8132,              0.0018954,              0.0018954,              0.0018954
                      4,                 2.4001,                 1.2235,                 1.6927,                0.78241,                   0.71,                0.76853,                0.39567,                 3.0957,                 2.8559,                 1.8421,              0.0018515,              0.0018515,              0.0018515
                      5,                 2.2905,                 1.1095,                  1.663,                0.87518,                0.89111,                0.92281,                0.53237,                 2.7994,                 1.4324,                 1.7544,               0.001802,               0.001802,               0.001802
                      6,                 2.0986,                0.99663,                 1.6399,                0.90012,                0.91778,                0.94489,                0.59964,                 2.6491,                 1.2423,                 1.7385,              0.0017525,              0.0017525,              0.0017525
                      7,                 1.9964,                0.92379,                 1.6422,                0.92969,                0.95556,                0.97219,                0.61462,                  2.465,                 1.0973,                 1.7163,               0.001703,               0.001703,               0.001703
                      8,                 1.9141,                 0.8724,                 1.6258,                0.92967,                0.86333,                0.93635,                0.61259,                 2.4733,                 1.3972,                 1.7333,              0.0016535,              0.0016535,              0.0016535
                      9,                 1.8817,                0.84422,                 1.6306,                0.88422,                0.76368,                0.87475,                0.58129,                 2.6522,                 2.1605,                 1.7468,               0.001604,               0.001604,               0.001604
                     10,                 1.7849,                 0.7969,                 1.6119,                0.93978,                0.90162,                0.96345,                0.62843,                 2.4588,                  1.237,                  1.735,              0.0015545,              0.0015545,              0.0015545
                     11,                 1.7699,                0.78008,                 1.6068,                0.95721,                0.86333,                0.96415,                0.65407,                 2.4464,                 1.2115,                 1.7117,               0.001505,               0.001505,               0.001505
                     12,                 1.7069,                0.75633,                 1.6003,                0.95019,                0.89027,                0.97001,                0.68056,                 2.3851,                 1.1658,                 1.6916,              0.0014555,              0.0014555,              0.0014555
                     13,                 1.7171,                0.75533,                 1.5986,                0.94877,                0.92604,                0.97522,                0.67015,                 2.4735,                 1.0314,                 1.7116,               0.001406,               0.001406,               0.001406
                     14,                  1.599,                0.70603,                 1.6003,                0.96338,                0.90625,                0.97882,                0.68542,                 2.3941,                 1.0613,                 1.7274,              0.0013565,              0.0013565,              0.0013565
                     15,                 1.5762,                0.69333,                 1.6042,                0.96482,                0.91423,                0.97636,                0.69854,                 2.2792,                  1.076,                 1.6727,               0.001307,               0.001307,               0.001307
                     16,                 1.5407,                 0.6842,                 1.5949,                0.94171,                0.93341,                0.98076,                0.67247,                 2.4598,                 1.0257,                 1.7148,              0.0012575,              0.0012575,              0.0012575
                     17,                 1.4761,                0.68656,                 1.5941,                0.96972,                0.94222,                0.98607,                0.68697,                 2.2981,                0.95228,                 1.6952,               0.001208,               0.001208,               0.001208
                     18,                 1.4908,                0.65976,                 1.5901,                0.96431,                0.93078,                0.98105,                0.70491,                 2.2485,                 1.0159,                 1.6957,              0.0011585,              0.0011585,              0.0011585
                     19,                   1.49,                0.65899,                 1.5957,                0.98621,                   0.94,                0.98631,                0.67511,                 2.3614,                0.98651,                   1.71,               0.001109,               0.001109,               0.001109
                     20,                 1.4653,                0.64373,                 1.5888,                0.98449,                0.91556,                0.97942,                0.68158,                 2.4058,                  1.015,                 1.7155,              0.0010595,              0.0010595,              0.0010595
                     21,                 1.3936,                0.62289,                 1.5832,                0.95283,                0.92025,                0.97075,                0.67218,                 2.4566,                  1.107,                 1.7146,                0.00101,                0.00101,                0.00101
                     22,                 1.3908,                0.62066,                 1.5795,                0.96658,                 0.9318,                0.98439,                0.70938,                 2.2572,                 1.0197,                 1.6828,              0.0009605,              0.0009605,              0.0009605
                     23,                 1.3483,                 0.6035,                 1.5778,                0.95565,                0.90556,                0.97524,                0.69821,                 2.3279,                 1.0989,                 1.6927,               0.000911,               0.000911,               0.000911
                     24,                 1.3451,                0.60583,                 1.5757,                0.96516,                0.95556,                0.98646,                0.70793,                 2.2431,                0.93091,                 1.6868,              0.0008615,              0.0008615,              0.0008615
                     25,                 1.3255,                0.60053,                 1.5736,                0.93847,                0.91508,                0.97748,                0.71699,                 2.3241,                 1.0685,                  1.689,               0.000812,               0.000812,               0.000812
                     26,                 1.2799,                 0.5753,                  1.566,                 0.9366,                0.90556,                0.96497,                 0.6817,                 2.3885,                 1.1499,                 1.7082,              0.0007625,              0.0007625,              0.0007625
                     27,                 1.2907,                0.57924,                 1.5635,                0.95355,                0.95793,                0.98931,                0.72493,                 2.2021,                0.90824,                 1.6761,               0.000713,               0.000713,               0.000713
                     28,                 1.2505,                0.55938,                 1.5724,                0.95974,                0.90046,                0.96426,                 0.7174,                  2.273,                 1.2032,                 1.6904,              0.0006635,              0.0006635,              0.0006635
                     29,                 1.1877,                0.55241,                 1.5709,                 0.9717,                0.91555,                0.97915,                0.71869,                 2.2625,                 1.0392,                 1.6954,               0.000614,               0.000614,               0.000614
                     30,                 1.1993,                0.53527,                 1.5835,                0.95608,                0.96741,                0.98739,                0.73081,                 2.1593,                 0.9082,                 1.6745,              0.0005645,              0.0005645,              0.0005645
                     31,                 1.1621,                0.52576,                 1.5619,                0.97885,                0.90667,                0.97385,                0.70331,                 2.2668,                 1.0679,                 1.6848,               0.000515,               0.000515,               0.000515
                     32,                 1.1123,                0.49893,                 1.5646,                0.97732,                0.89444,                0.96105,                0.70113,                  2.239,                 1.1896,                 1.6771,              0.0004655,              0.0004655,              0.0004655
                     33,                 1.0976,                0.50181,                 1.5633,                0.96872,                0.88889,                0.95608,                0.70195,                 2.2062,                 1.3005,                 1.6755,               0.000416,               0.000416,               0.000416
                     34,                 1.0557,                0.48539,                 1.5735,                 0.9613,                0.89778,                0.96049,                0.71457,                 2.1807,                 1.2422,                 1.6883,              0.0003665,              0.0003665,              0.0003665
                     35,                 1.0651,                 0.4884,                 1.5461,                0.97471,                0.91333,                0.97962,                0.71361,                 2.2424,                 1.0769,                 1.6929,               0.000317,               0.000317,               0.000317
                     36,                 1.0363,                0.48026,                 1.5514,                0.96945,                0.89889,                 0.9774,                0.72139,                 2.2027,                 1.1475,                 1.6866,              0.0002675,              0.0002675,              0.0002675
                     37,                 1.0057,                0.46643,                 1.5513,                0.98427,                0.90374,                0.97687,                0.72316,                 2.1454,                 1.0808,                 1.6756,               0.000218,               0.000218,               0.000218
                     38,                0.99352,                0.44655,                 1.5512,                0.96889,                0.89985,                0.97078,                0.71255,                 2.2072,                 1.1158,                 1.6825,              0.0001685,              0.0001685,              0.0001685
                     39,                0.95196,                0.43884,                 1.5564,                0.96081,                0.92611,                0.98048,                0.72815,                 2.1603,                 1.0338,                 1.6768,               0.000119,               0.000119,               0.000119
                     40,                0.93197,                0.41935,                  1.542,                0.96016,                0.92778,                0.98137,                0.73136,                 2.1333,                 1.0125,                 1.6762,               6.95e-05,               6.95e-05,               6.95e-05
