                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.59901,                0.34062,                0.78776,                0.97475,                0.90061,                0.95651,                0.67492,                 1.0978,                 0.7104,                0.84442,              0.0016535,              0.0016535,              0.0016535
                     37,                0.60843,                0.33633,                0.78601,                0.96605,                0.88889,                0.95431,                0.69783,                 1.0268,                0.72821,                0.83036,              0.0016436,              0.0016436,              0.0016436
                     38,                0.57479,                0.32607,                0.78793,                0.98188,                0.90305,                0.96246,                0.66613,                 1.0907,                0.68709,                0.84933,              0.0016337,              0.0016337,              0.0016337
                     39,                 0.5727,                0.32863,                0.78645,                0.98059,                0.88444,                0.95138,                0.68885,                 1.0341,                0.79212,                0.83593,              0.0016238,              0.0016238,              0.0016238
                     40,                 0.6012,                0.33968,                0.78193,                0.97133,                 0.9036,                0.96953,                0.68501,                 1.0482,                0.73446,                0.84004,              0.0016139,              0.0016139,              0.0016139
                     41,                0.56272,                0.31538,                0.77984,                 0.9734,                0.90667,                0.95428,                0.70071,                 1.0506,                0.77991,                0.83681,               0.001604,               0.001604,               0.001604
                     42,                0.56877,                 0.3297,                0.78229,                0.97419,                0.92258,                0.97099,                0.68985,                 1.0711,                0.67798,                0.84201,              0.0015941,              0.0015941,              0.0015941
                     43,                0.55048,                0.31368,                0.77888,                0.96736,                0.88906,                0.94178,                0.68766,                 1.0461,                0.73268,                0.83428,              0.0015842,              0.0015842,              0.0015842
                     44,                0.57776,                0.31978,                0.78413,                0.97503,                0.91102,                0.96452,                0.68291,                 1.0952,                0.70034,                0.83942,              0.0015743,              0.0015743,              0.0015743
                     45,                0.56958,                0.32209,                0.78116,                0.97986,                0.91901,                0.96663,                0.67579,                  1.057,                0.68917,                  0.838,              0.0015644,              0.0015644,              0.0015644
                     46,                 0.5452,                0.30992,                0.78214,                0.96794,                0.90587,                 0.9583,                0.67425,                 1.0689,                 0.7419,                0.83441,              0.0015545,              0.0015545,              0.0015545
                     47,                0.56917,                0.31854,                0.78601,                 0.9735,                0.91444,                0.96381,                0.70697,                  1.056,                0.73047,                0.83675,              0.0015446,              0.0015446,              0.0015446
                     48,                0.57711,                0.31936,                0.78669,                0.96615,                0.91978,                0.96935,                0.68042,                 1.0892,                 0.6378,                0.83999,              0.0015347,              0.0015347,              0.0015347
                     49,                0.55344,                0.31404,                0.78509,                0.99516,                0.91475,                0.96504,                0.69578,                 1.0778,                0.79114,                0.84765,              0.0015248,              0.0015248,              0.0015248
                     50,                0.56952,                 0.3282,                0.78773,                0.95503,                0.90333,                0.95199,                0.68175,                 1.0568,                0.74028,                0.83486,              0.0015149,              0.0015149,              0.0015149
                     51,                0.55295,                0.32603,                0.77724,                0.95277,                0.89333,                0.94996,                0.68063,                 1.0909,                0.69505,                0.83701,               0.001505,               0.001505,               0.001505
                     52,                0.54302,                0.30905,                0.78314,                0.97786,                   0.91,                0.96999,                0.69551,                 1.0447,                0.67036,                0.83674,              0.0014951,              0.0014951,              0.0014951
                     53,                 0.5287,                0.30081,                0.77611,                0.97298,                0.92022,                0.96495,                0.69445,                 1.0484,                0.64193,                0.83357,              0.0014852,              0.0014852,              0.0014852
                     54,                 0.5324,                0.30779,                0.77834,                0.96264,                0.91615,                0.97533,                0.68691,                 1.0562,                0.66822,                0.84067,              0.0014753,              0.0014753,              0.0014753
                     55,                0.54224,                0.31006,                0.78984,                0.98779,                0.89924,                0.96398,                0.69683,                 1.0573,                0.72446,                0.83085,              0.0014654,              0.0014654,              0.0014654
                     56,                 0.5291,                0.29993,                 0.7802,                0.97312,                0.92521,                0.97458,                0.71155,                 1.0584,                0.65585,                  0.842,              0.0014555,              0.0014555,              0.0014555
                     57,                0.53115,                 0.3087,                0.78137,                0.96672,                0.90556,                0.96507,                0.70017,                 1.0218,                0.62832,                0.83634,              0.0014456,              0.0014456,              0.0014456
                     58,                 0.5243,                0.30455,                0.78164,                0.96041,                 0.8894,                0.95997,                0.68728,                 1.0537,                0.66859,                0.83594,              0.0014357,              0.0014357,              0.0014357
                     59,                0.54577,                0.30668,                0.78355,                0.97609,                0.91556,                 0.9563,                0.69384,                 1.0514,                0.67615,                0.83621,              0.0014258,              0.0014258,              0.0014258
                     60,                 0.5188,                0.30125,                 0.7855,                 0.9688,                  0.897,                0.95753,                0.69486,                  1.051,                0.77955,                0.83697,              0.0014159,              0.0014159,              0.0014159
                     61,                0.51308,                0.29178,                0.77778,                 0.9676,                0.90444,                0.96011,                0.69136,                 1.0769,                0.73315,                0.83912,               0.001406,               0.001406,               0.001406
                     62,                0.49855,                0.28411,                0.78169,                0.96598,                0.89111,                0.95143,                0.68731,                 1.0605,                0.77188,                0.83505,              0.0013961,              0.0013961,              0.0013961
                     63,                 0.5133,                0.29389,                0.78082,                0.98924,                0.88444,                0.95708,                 0.6763,                 1.1043,                0.72425,                0.84696,              0.0013862,              0.0013862,              0.0013862
