                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9632,                  9.928,                  1.817,                0.93604,                0.01628,                0.73269,                0.37955,                  2.967,                 8.0544,                 1.8122,             0.00066077,             0.00066077,             0.00066077
                      2,                 2.6355,                 4.9649,                 1.6983,                0.74615,                0.75771,                0.83089,                 0.4438,                 3.1756,                  2.702,                 1.8452,              0.0013143,              0.0013143,              0.0013143
                      3,                 2.5832,                 2.8806,                 1.7219,                0.79627,                   0.72,                0.81865,                0.47611,                 2.9658,                 2.1298,                 1.7946,              0.0019546,              0.0019546,              0.0019546
                      4,                 2.4787,                 1.9684,                 1.7014,                0.83127,                0.78778,                0.88491,                0.50607,                 3.1105,                 1.7857,                  1.844,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.3392,                 1.5472,                 1.6751,                0.84321,                0.85444,                0.92427,                0.54278,                 2.7114,                 1.6001,                 1.7473,              0.0019208,              0.0019208,              0.0019208
                      6,                 2.1427,                  1.267,                 1.6488,                0.88209,                 0.8312,                0.92653,                0.57604,                 2.6797,                 1.3283,                 1.7366,               0.001901,               0.001901,               0.001901
                      7,                 2.2281,                  1.215,                 1.6645,                0.91241,                0.85647,                0.94661,                0.57343,                 2.7871,                 1.3768,                 1.7732,              0.0018812,              0.0018812,              0.0018812
                      8,                 2.0505,                 1.1193,                 1.6459,                0.89499,                   0.84,                0.93292,                0.59534,                 2.6658,                 1.3462,                 1.7678,              0.0018614,              0.0018614,              0.0018614
                      9,                 2.0307,                 1.0681,                 1.6543,                0.90734,                0.88129,                0.95966,                0.61988,                 2.6288,                  1.232,                 1.7401,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.9236,                0.98858,                 1.6312,                0.88722,                0.85889,                0.93723,                0.60638,                 2.5464,                 1.3841,                 1.7292,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.9317,                 0.9596,                  1.623,                0.94969,                0.89556,                0.97294,                0.66498,                 2.4758,                 1.0975,                 1.7074,               0.001802,               0.001802,               0.001802
                     12,                 1.8255,                0.90568,                 1.6175,                0.89427,                0.85521,                0.94433,                 0.6062,                 2.6398,                 1.3163,                   1.73,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.8538,                0.88285,                 1.6141,                0.92846,                0.89222,                0.96394,                0.62441,                 2.6125,                 1.2496,                  1.756,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.8208,                0.89104,                 1.6226,                0.93249,                0.89667,                0.97609,                0.63569,                 2.5414,                 1.1266,                 1.7599,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.8031,                0.87672,                 1.6297,                0.93048,                0.90111,                0.96558,                0.63669,                 2.4885,                 1.1578,                 1.7318,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.8071,                0.85453,                 1.6176,                0.91799,                0.90798,                0.96757,                0.61283,                 2.6921,                 1.2336,                 1.7331,               0.001703,               0.001703,               0.001703
                     17,                 1.7287,                0.81668,                 1.6193,                0.95622,                0.90111,                0.97704,                0.65014,                 2.4778,                 1.0953,                 1.7119,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.7335,                 0.8139,                 1.6156,                0.95366,                0.89111,                0.96907,                0.66101,                 2.4492,                 1.1784,                 1.7111,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.6752,                0.79827,                 1.6133,                0.96043,                0.89111,                0.96256,                0.64443,                 2.4897,                  1.219,                 1.7294,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.6236,                 0.7781,                 1.6033,                0.92405,                0.88333,                0.95297,                0.64446,                 2.5064,                 1.4006,                 1.7065,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.6274,                0.76727,                 1.6042,                0.92749,                0.88117,                0.94864,                0.62708,                 2.4363,                 1.3123,                 1.7174,               0.001604,               0.001604,               0.001604
                     22,                 1.6659,                0.77457,                 1.6032,                0.94999,                0.86541,                0.96176,                0.64623,                 2.4622,                 1.2937,                  1.723,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.5714,                0.75351,                 1.5977,                0.95295,                0.81019,                0.93326,                0.64857,                 2.4975,                 1.5477,                 1.7345,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.6342,                0.74356,                 1.5987,                0.94452,                0.89556,                0.97127,                0.65983,                 2.4069,                  1.195,                 1.7157,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.5489,                0.72846,                 1.5922,                0.94841,                0.91889,                 0.9702,                0.66142,                 2.5054,                 1.1457,                 1.7189,              0.0015248,              0.0015248,              0.0015248
