                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1083,                 14.167,                 1.9032,                0.72973,                0.83999,                0.83495,                0.50679,                 2.9997,                   1.78,                 1.8001,             0.00066077,             0.00066077,             0.00066077
                      2,                  2.515,                 1.6177,                 1.6894,                 0.7478,                0.63257,                0.70176,                 0.3725,                 3.3477,                 2.6319,                 1.9734,              0.0012617,              0.0012617,              0.0012617
                      3,                 2.4777,                 1.2971,                 1.7099,                0.48094,                0.08545,                0.07956,                0.03123,                 6.3864,                 8.0878,                 3.1587,              0.0017967,              0.0017967,              0.0017967
                      4,                 2.3631,                 1.1724,                 1.6896,                0.93142,                0.89029,                0.94157,                0.58176,                 2.8058,                  1.311,                  1.766,               0.001703,               0.001703,               0.001703
                      5,                  2.268,                 1.0346,                 1.6616,                0.91007,                0.89954,                0.96194,                0.57691,                 2.7451,                 1.1921,                 1.7709,               0.001604,               0.001604,               0.001604
                      6,                 1.9636,                0.89733,                 1.6292,                0.91996,                0.91889,                0.96923,                0.64907,                 2.4968,                 1.1038,                  1.715,               0.001505,               0.001505,               0.001505
                      7,                 1.9564,                0.89845,                 1.6359,                0.94581,                0.91111,                 0.9724,                 0.6352,                 2.5305,                 1.1435,                 1.7427,               0.001406,               0.001406,               0.001406
                      8,                 1.9024,                0.84099,                 1.6219,                0.91983,                0.91794,                0.97729,                0.67481,                  2.441,                 1.1233,                 1.6978,               0.001307,               0.001307,               0.001307
                      9,                 1.7535,                0.78392,                 1.6169,                0.90776,                   0.92,                0.96458,                0.63734,                 2.5011,                 1.1525,                 1.7229,               0.001208,               0.001208,               0.001208
                     10,                 1.7001,                0.76066,                 1.6065,                0.94857,                0.93778,                0.98054,                0.67559,                 2.3498,                0.97366,                 1.6923,               0.001109,               0.001109,               0.001109
                     11,                 1.6195,                0.70443,                 1.6023,                0.95858,                    0.9,                0.97463,                0.67045,                 2.3712,                 1.0858,                 1.7009,                0.00101,                0.00101,                0.00101
                     12,                 1.5413,                0.70669,                 1.6036,                0.96035,                0.88819,                0.96234,                0.66869,                  2.462,                  1.219,                 1.7008,               0.000911,               0.000911,               0.000911
                     13,                  1.446,                0.65882,                  1.594,                 0.9211,                0.88889,                0.95456,                0.66405,                 2.4771,                 1.2203,                 1.7127,               0.000812,               0.000812,               0.000812
                     14,                 1.4577,                0.65078,                 1.5945,                0.93101,                0.88471,                0.95241,                 0.6425,                 2.5399,                 1.1547,                 1.7167,               0.000713,               0.000713,               0.000713
                     15,                 1.3425,                0.59298,                 1.5751,                0.96047,                0.91801,                0.97597,                0.69482,                 2.3009,                 1.0707,                 1.6909,               0.000614,               0.000614,               0.000614
                     16,                 1.3175,                0.58204,                 1.5606,                0.96732,                0.92094,                0.97535,                0.70609,                 2.3305,                 1.0249,                 1.6804,               0.000515,               0.000515,               0.000515
                     17,                 1.2647,                0.56342,                 1.5815,                 0.9357,                0.92162,                0.97324,                0.70194,                  2.245,                 1.0224,                 1.6689,               0.000416,               0.000416,               0.000416
                     18,                 1.1859,                0.51793,                 1.5526,                0.95903,                0.91037,                0.97865,                0.73103,                 2.1621,                 1.0179,                 1.6633,               0.000317,               0.000317,               0.000317
                     19,                 1.1635,                0.51073,                 1.5616,                0.95919,                0.94556,                0.98056,                0.72582,                 2.1871,                0.97237,                  1.671,               0.000218,               0.000218,               0.000218
                     20,                 1.0868,                0.48694,                 1.5647,                0.96053,                0.94633,                0.98101,                0.72814,                   2.17,                0.94257,                 1.6688,               0.000119,               0.000119,               0.000119
