                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.773,                 3.9508,                 1.7516,                0.76024,                0.72222,                0.83349,                0.48673,                 2.9756,                 1.9435,                 1.8693,             0.00066519,             0.00066519,             0.00066519
                      2,                 2.8353,                 1.8002,                 1.7819,                0.83153,                 0.7678,                0.85364,                0.51766,                 2.9167,                 2.3919,                 1.8096,              0.0013187,              0.0013187,              0.0013187
                      3,                 2.6704,                 1.5243,                 1.7281,                0.87244,                0.83594,                0.91888,                0.56494,                 2.7359,                 1.5082,                 1.8035,              0.0019589,              0.0019589,              0.0019589
                      4,                  2.355,                 1.2872,                 1.7055,                0.82966,                0.47111,                0.57381,                 0.3681,                    nan,                    nan,                    nan,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.1982,                 1.0544,                 1.6725,                 0.8605,                0.86356,                0.92755,                0.58763,                 2.5864,                 1.4619,                 1.7546,              0.0019208,              0.0019208,              0.0019208
                      6,                 2.1697,                 1.0072,                 1.6741,                 0.9387,                0.89444,                  0.961,                0.62713,                 2.5553,                 1.2065,                 1.7614,               0.001901,               0.001901,               0.001901
                      7,                 2.0842,                0.96098,                 1.6688,                0.92447,                0.91444,                0.95728,                0.66689,                 2.4559,                 1.3898,                 1.7645,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.9248,                0.89949,                 1.6427,                0.92859,                0.90444,                0.95895,                0.65158,                 2.4046,                 1.1466,                 1.7139,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.8473,                0.83523,                 1.6434,                0.93075,                0.94556,                0.96944,                0.66807,                 2.3249,                 1.0582,                  1.719,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.7272,                0.75992,                 1.6242,                0.92021,                 0.8714,                0.93195,                0.62233,                 2.5251,                 1.3463,                 1.7552,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.6904,                0.74278,                  1.616,                0.94076,                0.86455,                0.95623,                0.68212,                 2.3508,                 1.2193,                   1.73,               0.001802,               0.001802,               0.001802
                     12,                 1.6486,                0.74442,                 1.6119,                0.94269,                0.93208,                0.97964,                0.69283,                 2.2298,                 1.0033,                 1.7034,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.6354,                0.76314,                 1.6075,                0.92696,                0.91444,                0.96479,                0.69914,                 2.1938,                 1.1791,                 1.6998,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.6332,                0.72371,                  1.601,                0.96583,                0.92667,                0.98108,                0.68585,                 2.3824,                 1.0884,                 1.7283,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.5826,                0.70792,                 1.5964,                0.94857,                0.91444,                0.96017,                0.65343,                 2.4299,                 1.2058,                  1.735,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.5429,                0.67533,                 1.5941,                0.96248,                0.91209,                0.97454,                0.66303,                  2.487,                  1.191,                 1.7485,               0.001703,               0.001703,               0.001703
                     17,                 1.5426,                0.67895,                 1.6005,                0.95808,                0.93964,                0.97591,                0.69749,                 2.3833,                 1.0925,                 1.7367,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.5666,                0.66294,                  1.604,                0.96977,                0.91889,                0.97527,                0.69346,                 2.2986,                 1.1217,                 1.7142,              0.0016634,              0.0016634,              0.0016634
                     19,                  1.414,                0.63642,                 1.6003,                0.95678,                0.91018,                0.97481,                0.67927,                 2.3689,                0.99452,                 1.7062,              0.0016436,              0.0016436,              0.0016436
